Title,Price,Location,Bedrooms,Bathrooms,Property_Type,URL,Toilets,Parking_Space
Lovely 4 Bedroom Terrace Duplex on 2 Floors,200000000,"Lekki,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ologolo/3407886-lovely-4-bedroom-terrace-duplex-on-2-floors,5.0,2.0
5 Bedrooms Detached Duplex with 2 Rooms BQ Sitting on 850SQM Land,850000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2624702-5-bedrooms-detached-duplex-with-2-rooms-bq-sitting-on-850sqm-land,,
5 Bedrooms Detached Duplex with 2 Rooms BQ Sitting on 850SQM Land,850000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2624702-5-bedrooms-detached-duplex-with-2-rooms-bq-sitting-on-850sqm-land,6.0,
Standard Ensuit 2 Bedroom Luxury Apartment with Pool/ Elevator/ Gym +,714000000,"Ikoyi,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3407584-standard-ensuit-2-bedroom-luxury-apartment-with-pool-elevator-gym,,
Standard Ensuit 2 Bedroom Luxury Apartment with Pool/ Elevator/ Gym +,714000000,"Ikoyi,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3407584-standard-ensuit-2-bedroom-luxury-apartment-with-pool-elevator-gym,3.0,
3 Bedroom,16000000,"Ikate Elegushi,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate-elegushi/3407462-3-bedroom,,
3 Bedroom,16000000,"Ikate Elegushi,  Lekki,  Lagos",3.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate-elegushi/3407462-3-bedroom,4.0,
"Brand New 5 Bedroom Fully Detached Duplex with a Cinema, Study Room",850000000,"Ikate,  Lekki,  Lagos",,,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ikate/3183419-brand-new-5-bedroom-fully-detached-duplex-with-a-cinema-study-room,,
"Brand New 5 Bedroom Fully Detached Duplex with a Cinema, Study Room",850000000,"Ikate,  Lekki,  Lagos",5.0,6.0,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ikate/3183419-brand-new-5-bedroom-fully-detached-duplex-with-a-cinema-study-room,6.0,6.0
2 Bedroom Apartment with Governor's Consent,120000000,"Ologolo,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ologolo/3407205-2-bedroom-apartment-with-governors-consent,,
2 Bedroom Apartment with Governor's Consent,120000000,"Ologolo,  Lekki,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ologolo/3407205-2-bedroom-apartment-with-governors-consent,3.0,
5 Bedrooms Detached Duplex + BQ,600000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3406705-5-bedrooms-detached-duplex-bq,,
5 Bedrooms Detached Duplex + BQ,600000000,"Lekki,  Lagos",5.0,2.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3406705-5-bedrooms-detached-duplex-bq,6.0,
5 Bedroom Detached Duplex +BQ,600000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3406703-5-bedroom-detached-duplex-bq,,
5 Bedroom Detached Duplex +BQ,600000000,"Lekki,  Lagos",5.0,2.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3406703-5-bedroom-detached-duplex-bq,6.0,
Luxury 3 Bedrooms Apartment with BQ,450000000,"Victoria Island,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3386533-luxury-3-bedrooms-apartment-with-bq,,
Luxury 3 Bedrooms Apartment with BQ,450000000,"Victoria Island,  Lagos",3.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3386533-luxury-3-bedrooms-apartment-with-bq,4.0,2.0
