Unnamed: 0,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL,Scraped_By,title,location,price,bedrooms,bathrooms,toilets,property_type,url
,,,,,,,,,data/Island_Luxury_Data.csv,"Fully Furnished 4-bedroom Maisonette With Bq, Gym & Swimming Pool","Old Ikoyi, Ikoyi, Lagos","₦60,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3308429-fully-furnished-4-bedroom-maisonette-with-bq-gym-swimming-pool
,,,,,,,,,data/Island_Luxury_Data.csv,"Luxury 4-bedroom Maisonette With A Room Bq, Swimming Pool, And Gym","Old Ikoyi, Ikoyi, Lagos","₦80,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3308359-luxury-4-bedroom-maisonette-with-a-room-bq-swimming-pool-and-gym
,,,,,,,,,data/Island_Luxury_Data.csv,3-bedroom Apartment,"Ikoyi, Lagos","₦30,000,000 per annum",3.0,3.0,3.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3249915-3-bedroom-apartment
,,,,,,,,,data/Island_Luxury_Data.csv,An Exclusive Serviced 3 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","₦45,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3304078-an-exclusive-serviced-3-bedroom-apartment
,,,,,,,,,data/Island_Luxury_Data.csv,Lovely Well Maintained Fully Serviced 2 Bedroom Apartment,"Ikoyi Road, Ikoyi, Lagos","₦17,000,000 per annum",2.0,2.0,3.0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3308205-lovely-well-maintained-fully-serviced-2-bedroom-apartment
,,,,,,,,,data/Island_Luxury_Data.csv,Nicely Finished 4 Bedroom Flat With A Room Bq,"Off Alfred Rewane, Ikoyi, Lagos","₦40,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3306275-nicely-finished-4-bedroom-flat-with-a-room-bq
,,,,,,,,,data/Island_Luxury_Data.csv,Spacious 4 Bedroom Terrace With A Room Bq,"Macdonald Road, Ikoyi, Lagos","₦50,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3306363-spacious-4-bedroom-terrace-with-a-room-bq
,,,,,,,,,data/Island_Luxury_Data.csv,Newly Renovated 4 Bedroom Terrace Without Bq,"Alagbon Close, Ikoyi, Lagos","₦25,000,000 per annum",4.0,4.0,5.0,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/2848917-newly-renovated-4-bedroom-terrace-without-bq
,,,,,,,,,data/Island_Luxury_Data.csv,Minimalist Luxury 2 Bedroom Apartment,"Oba Adeyinka, Off Alfred Riwane, Ikoyi, Lagos","₦50,000,000 per annum",2.0,2.0,3.0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3198795-minimalist-luxury-2-bedroom-apartment
,,,,,,,,,data/Island_Luxury_Data.csv,Beautifully Finished Wide 3 Bedroom Flat,"Parkview, Ikoyi, Lagos","₦25,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/parkview/3300286-beautifully-finished-wide-3-bedroom-flat
